Movie #,Title_basic,Year_basic,Duration_basic,Directors_basic,Actors_basic,Genres_basic,Plot_Summary,Title_TMDB,Release_Date,Budget,Revenue,Runtime,Vote_Average,Vote_Count,Overview,Match_Score,Match_Status
1,The Shawshank Redemption,1994,133,Frank Darabont,Tim Robbins | Morgan Freeman | Bob Gunton,Drama,A classic film with compelling storyline and memorable performances.,The Shawshank Redemption,1994/9/23,25000000,28341469,142,8.5,8205,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1,Matched
2,The Godfather,1972,173,Francis Ford Coppola,Marlon Brando | Al Pacino | James Caan,Crime | Drama,A classic film with compelling storyline and memorable performances.,The Godfather,1972/3/14,6000000,245066411,175,8.4,5893,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1,Matched
3,The Dark Knight,2008,99,Christopher Nolan,Christian Bale | Heath Ledger | Aaron Eckhart,Action | Crime | Drama,A classic film with compelling storyline and memorable performances.,The Dark Knight,2008/7/16,185000000,1004558444,152,8.2,12002,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",1,Matched
4,The Godfather Part II,1974,169,Francis Ford Coppola,Al Pacino | Robert De Niro | Robert Duvall,Crime | Drama,A classic film with compelling storyline and memorable performances.,The Hangover Part II,2011/5/25,80000000,254455986,102,6.2,3739,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",0.75,Matched
5,12 Angry Men,1957,95,Sidney Lumet,Henry Fonda | Lee J. Cobb | Martin Balsam,Crime | Drama,A classic film with compelling storyline and memorable performances.,12 Angry Men,1957/3/25,350000,1000000,96,8.2,2078,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1,Matched
6,Schindler's List,1993,90,Steven Spielberg,Liam Neeson | Ralph Fiennes | Ben Kingsley,Biography | Drama | History,A classic film with compelling storyline and memorable performances.,Schindler's List,1993/11/29,22000000,321365567,195,8.3,4329,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1,Matched
7,The Lord of the Rings: The Return of the King,2003,166,Peter Jackson,Elijah Wood | Viggo Mortensen | Ian McKellen,Action | Adventure | Drama,A classic film with compelling storyline and memorable performances.,The Lord of the Rings: The Return of the King,2003/12/1,94000000,1118888979,201,8.1,8064,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",1,Matched
8,Pulp Fiction,1994,141,Quentin Tarantino,John Travolta | Uma Thurman | Samuel L. Jackson,Crime | Drama,A classic film with compelling storyline and memorable performances.,Pulp Fiction,1994/10/8,8000000,213928762,154,8.3,8428,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1,Matched
9,The Lord of the Rings: The Fellowship of the Ring,2001,115,Peter Jackson,Elijah Wood | Ian McKellen | Viggo Mortensen,Action | Adventure | Drama,A classic film with compelling storyline and memorable performances.,The Lord of the Rings: The Fellowship of the Ring,2001/12/18,93000000,871368364,178,8,8705,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",1,Matched
10,Fight Club,1999,178,David Fincher,Brad Pitt | Edward Norton | Helena Bonham Carter,Drama,A classic film with compelling storyline and memorable performances.,Fight Club,1999/10/15,63000000,100853753,139,8.3,9413,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",1,Matched
