Movie #	Title	Year	Duration	IMDB Rating	Directors	Actors	Producers	Genres	Countries	Production Companies	Awards	Plot Summary	Remark	Movie_ID	budget	genres	homepage	id	keywords	original_language	original_title	overview	popularity	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	vote_average	vote_count	title_norm	Data_Source
1	The Shawshank Redemption	1994	133 minutes		Famous Director	Tim Robbins | Morgan Freeman | Bob Gunton	Famous Producer	Drama	United States	Castle Rock Entertainment	7 Academy Award nominations | Humanitas Prize	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1994.	1	185000000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]"	http://thedarkknight.warnerbros.com/dvdsite/	155	"[{""id"": 849, ""name"": ""dc comics""}, {""id"": 853, ""name"": ""crime fighter""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 3151, ""name"": ""scarecrow""}, {""id"": 4426, ""name"": ""sadism""}, {""id"": 4630, ""name"": ""chaos""}, {""id"": 6969, ""name"": ""gotham city""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 9537, ""name"": ""joker""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10044, ""name"": ""tragic hero""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 18023, ""name"": ""criminal mastermind""}, {""id"": 33518, ""name"": ""district attorney""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 163074, ""name"": ""super villain""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 230775, ""name"": ""batman""}]"	en	The Dark Knight	"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."	187.322927	"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]"	"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	2008/7/16	1004558444	152	"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]"	Released	Why So Serious?	The Dark Knight	8.2	12002	dark knight	none
2	The Godfather	1972	173 minutes		Famous Director	Marlon Brando | Al Pacino | James Caan	Famous Producer	Crime | Drama	United States	Paramount Pictures | Alfran Productions	3 Academy Awards (Best Picture) | 5 Golden Globe Awards	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1972.	2	160000000	"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]"	http://inceptionmovie.warnerbros.com/	27205	"[{""id"": 1014, ""name"": ""loss of lover""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2116, ""name"": ""sleep""}, {""id"": 2117, ""name"": ""subconsciousness""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 160137, ""name"": ""female hero""}]"	en	Inception	"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."	167.58371	"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Syncopy"", ""id"": 9996}]"	"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	2010/7/14	825532764	148	"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]"	Released	Your mind is the scene of the crime.	Inception	8.1	13752	inception	none
3	The Dark Knight	2008	99 minutes		Famous Director	Christian Bale | Heath Ledger | Aaron Eckhart	Famous Producer	Action | Crime | Drama	United States	Warner Bros. | Legendary Pictures	2 Academy Awards | Best Supporting Actor Oscar	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 2008.	3	93000000	"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]"	http://www.lordoftherings.net/	120	"[{""id"": 603, ""name"": ""elves""}, {""id"": 604, ""name"": ""dwarves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 611, ""name"": ""hobbit""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 2407, ""name"": ""fireworks""}, {""id"": 3098, ""name"": ""castle""}, {""id"": 3347, ""name"": ""volcano""}, {""id"": 4587, ""name"": ""password""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 46951, ""name"": ""mirror""}, {""id"": 177912, ""name"": ""wizard""}, {""id"": 234213, ""name"": ""sword and sorcery""}]"	en	The Lord of the Rings: The Fellowship of the Ring	"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."	138.049577	"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""The Saul Zaentz Company"", ""id"": 5237}]"	"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	2001/12/18	871368364	178	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	One ring to rule them all	The Lord of the Rings: The Fellowship of the Ring	8	8705	lord of the rings the fellowship of the ring	none
4	The Godfather Part II	1974	169 minutes		Famous Director	Al Pacino | Robert De Niro | Robert Duvall	Famous Producer	Crime | Drama	United States	Paramount Pictures | The Coppola Company	6 Academy Awards including Best Picture	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1974.	4	94000000	"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]"	http://www.lordoftherings.net	122	"[{""id"": 603, ""name"": ""elves""}, {""id"": 606, ""name"": ""orcs""}, {""id"": 609, ""name"": ""middle-earth (tolkien)""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 3301, ""name"": ""suspicion""}, {""id"": 3930, ""name"": ""bravery""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9812, ""name"": ""honor""}, {""id"": 11173, ""name"": ""troll""}, {""id"": 14707, ""name"": ""brutality""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 162846, ""name"": ""ghost""}, {""id"": 173700, ""name"": ""end of trilogy""}, {""id"": 207372, ""name"": ""quest""}, {""id"": 234213, ""name"": ""sword and sorcery""}]"	en	The Lord of the Rings: The Return of the King	"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm."	123.630332	"[{""name"": ""WingNut Films"", ""id"": 11}, {""name"": ""New Line Cinema"", ""id"": 12}]"	"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	2003/12/1	1118888979	201	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	The eye of the enemy is moving.	The Lord of the Rings: The Return of the King	8.1	8064	lord of the rings the return of the king	none
5	12 Angry Men	1957	95 minutes		Famous Director	Henry Fonda | Lee J. Cobb | Martin Balsam	Famous Producer	Crime | Drama	United States	Orion-Nova Productions	3 Academy Award nominations | Golden Bear at Berlin	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1957.	5	95000000	"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]"	http://www.seventhsonmovie.com/	68737	"[{""id"": 2343, ""name"": ""magic""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 177895, ""name"": ""dark fantasy""}, {""id"": 177900, ""name"": ""witch hunter""}, {""id"": 177901, ""name"": ""evil witch""}, {""id"": 223438, ""name"": ""based on young adult novel""}, {""id"": 234213, ""name"": ""sword and sorcery""}]"	en	Seventh Son	"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?"	63.628459	"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Thunder Road Pictures"", ""id"": 3528}, {""name"": ""Outlaw Sinema"", ""id"": 13444}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""Pendle Mountain Productions"", ""id"": 40112}, {""name"": ""China Film Co."", ""id"": 40890}]"	"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]"	2014/12/12	114178613	102	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	"When darkness falls, the son will rise. When the son falls, the dark knight will rise."	Seventh Son	5.2	957	seventh son	none
6	Schindler's List	1993	90 minutes		Famous Director	Liam Neeson | Ralph Fiennes | Ben Kingsley	Famous Producer	Biography | Drama | History	United States	Amblin Entertainment | Universal Pictures	7 Academy Awards including Best Picture	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1993.	6	63000000	"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]"	http://www.warnerbros.com/matrix	603	"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 312, ""name"": ""man vs machine""}, {""id"": 490, ""name"": ""philosophy""}, {""id"": 530, ""name"": ""prophecy""}, {""id"": 779, ""name"": ""martial arts""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 3074, ""name"": ""insurgence""}, {""id"": 4563, ""name"": ""virtual reality""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6256, ""name"": ""truth""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 194063, ""name"": ""messiah""}, {""id"": 221385, ""name"": ""gnosticism""}]"	en	The Matrix	"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."	104.309993	"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Groucho II Film Partnership"", ""id"": 372}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]"	"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1999/3/30	463517383	136	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	Welcome to the Real World.	The Matrix	7.9	8907	matrix	none
7	The Lord of the Rings: The Return of the King	2003	166 minutes		Famous Director	Elijah Wood | Viggo Mortensen | Ian McKellen	Famous Producer	Action | Adventure | Drama	United States	New Line Cinema | WingNut Films	11 Academy Awards (Best Picture)	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 2003.	7	63000000	"[{""id"": 18, ""name"": ""Drama""}]"	http://www.foxmovies.com/movies/fight-club	550	"[{""id"": 825, ""name"": ""support group""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 1541, ""name"": ""nihilism""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 4142, ""name"": ""insomnia""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 14819, ""name"": ""violence""}]"	en	Fight Club	"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."	146.757391	"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Taurus Film"", ""id"": 20555}, {""name"": ""Linson Films"", ""id"": 54050}, {""name"": ""Atman Entertainment"", ""id"": 54051}, {""name"": ""Knickerbocker Films"", ""id"": 54052}]"	"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1999/10/15	100853753	139	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	Mischief. Mayhem. Soap.	Fight Club	8.3	9413	fight club	none
8	Pulp Fiction	1994	141 minutes		Famous Director	John Travolta | Uma Thurman | Samuel L. Jackson	Famous Producer	Crime | Drama	United States	Miramax | A Band Apart	Palme d'Or at Cannes | Academy Award for Best Original Screenplay	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1994.	8	55000000	"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"		13	"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 458, ""name"": ""hippie""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 795, ""name"": ""running""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10624, ""name"": ""bully""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 162365, ""name"": ""military""}, {""id"": 162934, ""name"": ""hugging""}, {""id"": 166980, ""name"": ""shrimping""}, {""id"": 180204, ""name"": ""wounded soldier""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 208143, ""name"": ""park bench""}, {""id"": 215492, ""name"": ""amputee""}]"	en	Forrest Gump	"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability."	138.133331	"[{""name"": ""Paramount Pictures"", ""id"": 4}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1994/7/6	677945399	142	"[{""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	"The world will never be the same, once you've seen it through the eyes of Forrest Gump."	Forrest Gump	8.2	7927	forrest gump	none
9	The Lord of the Rings: The Fellowship of the Ring	2001	115 minutes		Famous Director	Elijah Wood | Ian McKellen | Viggo Mortensen	Famous Producer	Action | Adventure | Drama	United States	New Line Cinema | WingNut Films	4 Academy Awards | BAFTA Award for Best Film	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 2001.	9	22000000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]"	http://www.schindlerslist.com/	424	"[{""id"": 1382, ""name"": ""factory""}, {""id"": 1631, ""name"": ""concentration camp""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 1739, ""name"": ""holocaust""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3599, ""name"": ""defense industry""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 194409, ""name"": ""the holocaust""}]"	en	Schindler's List	The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.	104.469351	"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1993/11/29	321365567	195	"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	"Whoever saves one life, saves the world entire."	Schindler's List	8.3	4329	schindler s list	none
10	Fight Club	1999	178 minutes		Famous Director	Brad Pitt | Edward Norton | Helena Bonham Carter	Famous Producer	Drama	United States	Fox 2000 Pictures | Regency Enterprises	Empire Award for Best Film	A classic film with compelling storyline and memorable performances.	Data collected from public sources. Movie released in 1999.	10	25000000	"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"	http://www.warnerbros.com/goodfellas	769	"[{""id"": 378, ""name"": ""prison""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1196, ""name"": ""florida""}, {""id"": 1228, ""name"": ""1970s""}, {""id"": 1583, ""name"": ""mass murder""}, {""id"": 1857, ""name"": ""irish-american""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 14687, ""name"": ""extreme violence""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 41523, ""name"": ""brooklyn new york city""}, {""id"": 214983, ""name"": ""crime epic""}, {""id"": 214985, ""name"": ""tampa""}]"	en	GoodFellas	"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."	63.654244	"[{""name"": ""Winkler Films"", ""id"": 8880}]"	"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]"	1990/9/12	46836394	145	"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]"	Released	Three Decades of Life in the Mafia.	GoodFellas	8.2	3128	goodfellas	none
